1598918400000,11649.51000000,11664.78000000,11649.50000000,11661.93000000,58.77666400,1598918459999,685046.97181332,752,33.61871900,391727.00294465,0
1598918460000,11661.92000000,11668.18000000,11660.07000000,11667.77000000,71.51114500,1598918519999,834106.41813883,705,34.54896000,403018.87743109,0
1598918520000,11667.77000000,11668.50000000,11664.68000000,11667.12000000,35.42551600,1598918579999,413310.23923954,689,15.24189700,177824.65533592,0
1598918580000,11667.12000000,11667.72000000,11655.91000000,11656.57000000,44.41438300,1598918639999,517983.68195018,735,11.45251300,133536.99082170,0
1598918640000,11656.57000000,11656.57000000,11634.06000000,11647.06000000,125.95986100,1598918699999,1466991.21201876,1318,45.08742200,525164.86584492,0
1598918700000,11647.06000000,11647.06000000,11637.11000000,11645.19000000,78.40885300,1598918759999,912788.52354949,1177,36.06872900,419859.66229418,0
1598918760000,11645.51000000,11649.88000000,11636.32000000,11644.51000000,58.38331500,1598918819999,679764.66212640,1452,25.88732000,301409.07885278,0
1598918820000,11644.52000000,11647.18000000,11629.00000000,11634.28000000,86.96937400,1598918879999,1011956.53188137,2080,37.65828200,438130.79841899,0
1598918880000,11634.28000000,11644.00000000,11634.27000000,11639.12000000,72.38255200,1598918939999,842593.35253555,1654,29.64507000,345069.59116722,0
1598918940000,11639.12000000,11640.60000000,11630.21000000,11634.89000000,75.17028400,1598918999999,874724.31733419,1481,24.44286200,284430.04320096,0
1598919000000,11634.88000000,11638.90000000,11634.78000000,11638.89000000,53.35813700,1598919059999,620836.13714439,1113,19.23475300,223809.56596087,0
1598919060000,11638.89000000,11642.21000000,11638.89000000,11639.01000000,41.24012900,1598919119999,480080.91564879,688,12.45415200,144977.50155912,0
1598919120000,11639.00000000,11640.01000000,11630.00000000,11630.18000000,47.56507400,1598919179999,553471.83680703,909,14.97084200,174205.89490532,0
1598919180000,11630.17000000,11631.02000000,11627.22000000,11629.29000000,44.70588500,1598919239999,519896.28339918,719,9.64062200,112115.11995709,0
1598919240000,11629.29000000,11634.58000000,11629.28000000,11634.16000000,38.70243500,1598919299999,450151.10476621,672,20.88926900,242958.89256517,0
